year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,date
2005,5,174.72221632957917,181.83760942201403,138.10581294551048,659.656108820929,131.01857239692458,172.6180100214155,239.70460279743466,374.63313469234987,543.2691671198252,449.0667405530709,533.9978101830549,753.1839512013753,229.61011079960076,157.60588238305607,228.33667858332834,491.19415551833487,442.9700942783609,242.6188512850072,339.9368713574866,435.7035191442958,1157.4855794185535,351.317893006929,351.7847381354738,1117.3084951351887,266.5850070165323,825.6531664458505,323.43591342759413,408.28544629113264,717.8579366252525,326.3726783212845,260.1883672999118,152.82471010695872,644.7791809706538,203.40007916458077,245.72888975617553,1139.8799186226215,520.6374246420615,907.1592781568406,152.7602020865547,224.00793969731882,607.1144282529696,1088.0168203570154,767.3320035206696,779.2850243954085,686.8365446140355,1089.186915062079,729.9496363468236,114.59792434763366,289.7927987774353,459.60445559605165,2005-05-11
2005,6,124.16647832699601,186.04875275904567,164.91116793420878,605.2582828186654,124.73318145234722,211.89932428139602,287.1758153120984,327.52749252466447,532.0834381476617,437.25156488105773,602.804794869228,719.1836623184118,284.29770596779787,184.14452694376075,184.18100700449244,426.3520783989969,420.1356587857401,269.3224242368528,339.3715730153379,488.6876454798515,1171.9569873500823,365.30022675020234,321.56047276979916,1127.05138817387,199.25702758806386,836.2965113031361,347.227570418403,411.56727347921566,674.2171870279466,198.58841035997665,289.7833403147914,184.9460939843441,762.8938276695404,193.68860205039843,218.05720374910283,1146.421082494309,487.3622161504162,931.6371885683436,160.50165108143625,193.19691149954795,599.9743929572429,1132.9842528223257,817.8910319349253,744.2872223207986,679.2257313057831,1107.5616679132884,777.6904080421518,103.59895587009403,277.12955689347666,485.06551370851577,2005-06-11
2005,7,167.42577572015784,165.68217639191596,154.79891871472046,807.308459115803,126.90183399269858,224.94543876709247,247.86409326954364,393.34336296470906,591.6717195250885,381.65881577070775,592.3183750778777,829.5172756803945,259.7224284318149,196.45745351173048,195.1943348953057,454.0850172336727,514.5940207140616,232.33460952698437,465.22151258629674,471.23343698109744,1177.519189155722,415.87657611069085,287.847005530388,1086.0093730615454,232.28806135135216,818.6608191177337,315.9777594510359,373.1997943706744,742.6568444881891,202.97228999529267,265.35297215384156,194.67830540327208,677.5050737220138,231.02572383008334,270.8421638138725,1089.6283198889105,511.8179533585062,901.9900241330535,153.07230815433104,218.88371524747873,559.4710265984814,1158.4297469896057,798.0745949875546,791.0539166768986,679.5211780560788,1040.8689746935518,716.5378134396638,110.73091862127009,321.9026136517683,469.2015069146338,2005-07-11
2005,8,167.53784422666948,165.83871735468975,148.65607515895448,749.8264360573307,155.41554688781957,427.8553300489858,257.8188633718439,396.1595888231687,489.33710462734007,332.7024687450039,556.7187054597048,765.6120438598866,247.09871292900993,153.21872557573414,207.62223242053645,468.84137831876376,511.5430254859966,177.49175848203276,342.2477203233749,488.84403292256275,1102.1184003859266,437.1156712243089,366.0797672011462,970.5883787678839,205.67705879145848,747.572863869094,329.42119550451474,312.6029211081007,617.5904946553645,212.74666583410246,289.6702220066238,278.32783086563137,714.0344524316137,246.8868527420342,246.44800781497702,1052.4944493244293,451.5118760687418,859.8289447715467,147.44248535462674,287.6533833941996,464.3520916408717,1141.2130365601447,853.8341432415451,649.6093415882912,617.6853772290001,1066.498072257346,688.4110083102539,95.53394143151888,315.2659449463138,497.5297698287391,2005-08-11
2005,9,194.8161669000459,186.54139635475585,185.20726163791295,676.3152635054165,134.19158103076498,307.95853469648273,250.3776496533101,369.9570724689397,465.95421041972344,384.9254228995027,525.9317633468906,848.7381475801773,206.86010318922177,172.41807127666962,222.27844735721385,503.08725798589325,384.0200260474912,267.5100593299807,300.0569117186423,476.93278796204703,1000.1136599614814,390.52605972797375,338.42070779237054,1055.4037476489248,245.47247531523365,761.8518271197473,301.18942750422576,358.29818461430074,630.39164646598,161.10253950044753,276.3438468515111,327.7956010917116,705.2022055909042,241.66408368835744,299.12543089813937,1060.6416241896632,523.5230565737758,912.1959143259139,157.82679346433306,262.8498897317024,524.9799347857709,1138.8367323954756,876.5491725420325,714.1769157630695,630.1280353186316,1070.652425881326,664.4383629694289,91.1445865124429,282.5310268815405,497.8388994677208,2005-09-11
2005,10,163.33418457324728,195.32966897949376,171.81501891240472,676.3321917407372,145.32675045915596,324.4629958529842,226.15194513831412,398.3753885706898,568.9276412671425,463.2203482654574,626.1304325681882,832.083004758316,278.2118474774939,176.78169925738646,222.92078205477804,510.12689408905834,419.3408744931687,282.55682299301145,349.08445664280066,516.5544101076666,1136.3947157808147,346.0782957461399,347.94167762792597,1101.6362733769608,250.57420671675297,820.6720534329797,308.3484619493681,408.86300115776464,726.9000701742812,171.01031031150848,252.2416888855669,296.03853256750614,699.1453407258923,220.83457226294902,251.43353881340704,1065.2570993456509,495.3955857103573,902.2312896998359,180.59889164726914,218.4330258288371,509.20048290834205,1195.7649620065636,818.0054938696823,757.3829029949795,663.1644443240799,1091.7339048609895,705.759207454352,103.27045672898416,314.85815296734546,520.7625124782641,2005-010-11
2005,11,170.64724741312085,212.11522917028998,190.0132225547395,615.1942096973551,168.78706609047575,247.38523187472347,258.8009250238128,393.8246816896957,459.1572950300017,423.4737921227356,611.9606968439011,754.5560589165959,264.15273027110214,151.5341040106297,256.6130342810609,403.01413024760444,444.31396715174543,325.24637011145114,281.24271733853925,555.5521299604469,1091.8508441122285,336.86624343635276,393.78149892045593,1039.6922970472306,216.64001715814007,792.7854918043773,332.94069527652726,455.3179594217928,647.7796423651245,262.8973568698952,319.431105473331,207.73522928530224,734.3986727515544,260.1609039131843,276.4807044434415,1055.201184608217,469.2200159717763,861.0206910082018,155.7008358127875,243.0241422956967,517.877752548363,1131.8072669992032,840.9664160706643,739.1390913932687,624.2878815231816,1122.5506502800974,837.6863844214281,147.0535146402673,274.05531309376875,536.9720594482462,2005-011-11
2005,12,150.4245536741068,223.11265841102718,206.62725260515757,683.1364049417622,208.05313322685,270.34527642432226,333.42241414867556,425.0815712084084,469.8971214899575,446.04534773638125,700.1109717444373,855.4243774344494,343.7060953438767,189.40955489051748,235.64246313743132,384.5550563360599,423.8647411933771,272.7511034361092,281.85674865120615,686.7139420648011,1193.083021076794,438.9732198949755,325.4499577398392,1029.6084800318952,180.30921460835876,828.790999672342,322.18785092141763,464.0124518981066,668.303897692615,197.9980060147848,340.3514236647046,270.74687165610356,806.9546988414094,265.88606484841796,271.09077604091084,1054.3869482857358,454.9514371688648,857.2631200905014,179.78017662958737,289.26580795476724,507.85714431884827,1279.0320180349422,917.4160238905697,769.898805297244,666.1038725975204,1162.4257313770868,992.6318216518918,130.67765943643792,304.2489994521616,631.795164456238,2005-012-11
2006,1,149.01809627239982,194.28094592954318,135.07715351317665,701.3070815790649,175.8776833377571,229.08191291407016,319.4620419032499,504.4153595080605,399.01333818373706,332.22891033848043,567.6256810665109,842.8104366128882,382.5543948478697,208.69294651112378,220.12040102663832,397.34528568297696,489.22077365781627,230.57046935099422,268.7655817020774,586.9561775963932,966.7780469036293,410.3552496503952,366.2236373265783,1033.1759130709306,193.66752201507612,738.6882892148611,309.6068895315663,339.07322293163094,585.1251361938007,193.15887689257977,253.4673406523331,256.8091691507483,704.8306172655402,184.89232221537966,273.97105468133304,993.9825932426588,419.69842432729274,802.9957112599587,154.5165404444521,279.71264556552484,512.5095046553993,1118.0797342499397,805.3116164746361,655.7086821931338,690.1929139005587,1069.9739338746422,936.5058624764995,121.0049726075817,306.97957482032666,588.8546113996069,2006-01-11
2006,2,352.9832432786561,181.36004463406346,273.1805313665483,667.483161366686,152.05618814641872,214.328018725771,251.78054276502752,537.0428679702202,438.9203262085815,397.56054467030606,586.0256823826885,941.2659749824373,276.61677576019576,127.96011491380659,263.41566244495834,478.58418943463414,520.0467185438642,231.00986480092294,429.02127640004454,651.000780785681,1064.3993960352477,408.523195116943,496.31244386140474,1100.0584465394545,223.29868530419404,824.0521942245597,293.8041200693136,380.22581346364575,637.5066785343064,288.55733094032865,380.76236556390074,203.80394336510912,773.9023702315841,259.7743685411794,374.648793169595,1091.5899550017919,494.0660127382813,885.8062504334093,150.83628838941289,305.74881148870537,551.6469630530988,1169.9581697926142,866.7334437287182,739.0829661556464,716.1844018554104,1160.8099820148886,868.6384318404537,138.89233752872184,293.2647305893643,632.5319327779935,2006-02-11
2006,3,343.4487520689368,216.10931366085086,248.01227203243542,581.8914319508168,166.1396129642782,215.29206948465978,285.7479494756488,543.5144186314491,486.6714507779993,542.7825916495977,638.8129429383168,1002.4828371458301,284.9240621225542,353.4823736137204,227.5674641090702,423.5890458125701,504.77116987200634,407.83640951745923,310.7887137427917,613.65716685119,1240.7121163421589,357.05641245416587,410.6573564225897,1247.9116199829675,205.69358326195066,917.7403000607025,366.6162256033781,466.1660254738248,671.366128076737,294.86270444042424,378.28785571157624,164.89264778659165,791.8765166692423,197.9092606638631,359.8075230036523,1192.8187583395727,522.0542018992389,937.0080171343341,175.0659796031943,196.83748616396562,623.7320899327037,1226.721046516315,878.2326573411551,836.4770507768757,749.3536485779968,1284.6100494631053,877.1311061601538,164.97340877523737,292.8667244201383,589.9173392582838,2006-03-11
2006,4,290.16127618683066,188.2790441317974,223.8792900457474,570.8770226590489,115.11216037147584,224.25363668687203,192.1601745126291,467.09591647969995,485.28087366246507,402.72553417319585,573.5249806585733,801.0575333801438,266.52834694475683,204.83178870390188,208.41556610532882,390.74179908645857,403.97615362901826,300.83219165679725,319.67015108207437,571.7324357408368,1137.0871881757896,319.6157107528088,348.82689987463016,1032.3785692843703,203.13211444085618,806.7481815114055,300.5057904271399,399.39022070602266,601.8332460517665,248.83786816053893,280.25761869345865,167.6514643125488,695.7610392442435,209.77568497239085,302.6864500142032,952.3711777186468,433.6973515015934,739.4927831036597,188.66820743932874,179.2883806703099,496.48058879984,1025.0824361390003,710.6596875934795,691.4779907006476,680.684686822284,1099.863516403564,724.5160726502779,155.9399160627665,286.45452635232994,551.5065511844873,2006-04-11
