city|description
Айо́ра| Испания, пров. Валенсия
А́йос-Ео́рьос| о., Эгейское море, у вост. побережья п-ва Пелопоннес; Греция
А́йос-Или́ас| г., выс. 2404 м, горы Тайгет; Греция
А́йос-Или́ас| г., Греция, см. О́лимбос, г.
А́йос-Иоа́нис| м., сев.-вост. побережье о. Крит; Греция
А́йос-Нико́лаос| Греция, адм. центр нома Ластион, о. Крит
А́йос-Эфстра́тиос| о., Эгейское море, к югу от о-ва Лемнос; Греция
Айра́бу| о., Южно-Китайское море, о-ва Анамбас; Индонезия
Айра́г-Нур| оз., Монголия, Убсунурский аймак
Айра́н| Бразилия, шт. Амазонас
Айранджы́| Турция, иль Конья
А́йронвуд| США, шт. Мичиган
А́йрон-Ма́унтин| США, шт. Мичиган
А́йрон-Ноб| Австралия, шт. Южная Австралия
А́йрон-Рейндж| Австралия, шт. Квинсленд
А́йрон-Ри́вер| США, шт. Мичиган
А́йронтон| США, шт. Огайо
А́йса| г., выс. 2236 м, хр. Сахарский Атлас; Алжир
Айсе́н| обл., Чили
А́йси-Бей| зал., Тихий океан, юго-вост. побережье Аляски; США
А́йскирхен| ФРГ, земля Северный Рейн-Вестфалия
А́йслебен| ГДР, окр. Галле
А́йслуэрт| Великобритания, Англия, метроп. граф. Большой Лондон
Айта́ска| оз., США, шт. Миннесота
А́йти| преф., Япония, о. Хонсю
А́йтос| Болгария, Бургасский окр.
А́йфель| горн. массив, ФРГ
А́йхах| ФРГ, земля Бавария
А́йхштетт| ФРГ, земля Бавария
А́йша| Эфиопия, пров. Харэрге
Айя́| Греция, ном Лариса
Айя́р| вдхр., Индия, шт. Бихар
Ака́ба| Иордания
Ака́ба| зал., Красное море; между п-овами Аравийским и Синайским
Акаби́ра| Япония, окр. Сората, о. Хоккайдо
Акаи́си| хр., о. Хонсю; Япония
Акалко́т| Индия, см. Аккалко́т
Ака́мбаро| Мексика, шт. Гуанахуато
Аканту́| Кипр
Акапоне́та| Мексика, шт. Наярит
Акапу́лько| Мексика, шт. Герреро
Акара́| Бразилия, шт. Пара
Акари́гуа| Венесуэла, шт. Португеса
Ака́си| Япония, преф. Хиого, о. Хонсю
Акатена́нго| влк., выс. 3975 м; Гватемала
Акатла́н| Мексика, шт. Пуэбла
Акаху́тла| Сальвадор
Аквита́нский бассе́йн| Франция, см. Гаро́ннская ни́зменность
Акда́г| г., выс. 2647 м, горы Западный Тавр; Турция
Акда́г| г., выс. 3086 м, горы Западный Тавр; Турция
Акда́гмадени́| Турция, иль Йозгат
А́керсхус| фюльке, Норвегия
Аке́ти| Заир
Акжу́жт| Мавритания
А́ки| Япония, преф. Коти, о. Сикоку
Акидаба́н| р., лев. приток р. Парагвай; Парагвай
Акидауа́на| Бразилия, шт. Мату-Гросу-ду-Сул
Акидауа́на| р., прав. приток р. Миранда; Бразилия
А́килл| Ирландия, граф. Мейо
А́килл| о., Атлантический океан; у зап. побережья Ирландии
Акими́ски| о., зал. Джеймс Гудзонова залива; Канада
А́кита| Япония, адм. центр преф. Акита, о. Хонсю
А́кита| преф., Япония, о. Хонсю
А́кка (А́кко)| территория арабского государства
Аккалко́т| Индия, шт. Махараштра
А́ккаяуре| оз., Швеция, лен Норрботтен
Акке́си| Япония, окр. Кусиро, о. Хоккайдо
А́кко| территория арабского государства, см. А́кка (А́кко)
Аккра́| столица Ганы
Аккуави́ва-де́лле-Фо́нти| Италия, обл. Апулия
А́ккуапенде́нте| Италия, обл. Лацио
Аккуаро́сса| Швейцария, кантон Тессин (Тичино)
А́ккуи| Италия, обл. Пьемонт
Акла́вик| Канада, Северо-Западные территории
А́клинс| о., Атлантический океан, Багамские о-ва; гос-во Багамские Острова
Ако́| Япония, преф. Хиого, о. Хонсю
Акоа́фим| Камерун
Ако́бо| р., прав. приток р. Пибор; Эфиопия и Судан
Ако́ла| Индия, шт. Махараштра
Аконка́гуа| г., выс. 6960 м, горн. сист. Анды; Аргентина
Акорда́т| Эфиопия, пров. Эритрея
А́кпаток| о., зал. Унгава Атлантического океана; Канада
Акпына́р| Турция, см. Чына́р
А́кра| Ирак
А́кранес| Исландия, адм. центр сислы Боргарфьярдар
А́кри| Италия, обл. Калабрия
А́кри| шт., Бразилия
Акри́тас| м., юго-зап. побережье п-ова Пелопоннес; Греция
А́крон| США, шт. Огайо
Акса́ково| Болгария, Варненский окр.
Аксара́й| Турция, иль Нигде
А́ксбридж| Великобритания, Англия, метроп. граф. Большой Лондон
Аксеки́| Турция, иль Анталья
А́ксель-Хе́йберг| о., Канадский Арктический арх., о-ва Свердруп; Канада
Аксио́с| р. (на тер. Югославии — Варда́р), впадает в зал. Термаикос Эгейского моря; Греция
А́ксминстер| Великобритания, Англия, граф. Девон
Аксу́| Китай, Синьцзян-Уйгурский авт. р-н
Аксу́| р., впадает в зал. Анталья Средиземного моря; Турция
