city|description
Тейнни́ (Сенви́)| Бирма, нац. обл. Шан
Те́йсайд| обл., Великобритания, Шотландия
Те́йфи| р., Великобритания, см. Та́йви, р.
Тейше́йра-да-Си́лва| Ангола, см. Баилу́ндо
Тейше́йра-ди-Со́за| Ангола, см. Луа́у
Тека́б| Иран, остан Западный Азербайджан
Тё́кай| влк., выс. 2230 м, о. Хонсю; Япония
Текенда́ма| вдп., на р. Богота; Колумбия
Теке́с| р., сливаясь с р. Кунгес (Кюнес), образует р. Или; СССР и Китай
Текиргё́л| Румыния, уезд Констанца
Текирда́г| Турция, адм. центр иля Текирдаг
Текирда́г| иль, Турция
Те́кпан| Мексика, шт. Герреро
Те́кро| Чад
Тексарка́на| США, шт. Техас
Те́ксас-Си́ти| США, шт. Техас
Те́ксел| о., Северное море, Западно-Фризские о-ва; Нидерланды
Тексо́ма| оз., США, штаты Оклахома и Техас
Теку́ч| Румыния, уезд Галац
Тел| р., прав. приток р. Маханади; Индия
Те́ла| Гондурас
Телагапу́ланг| Индонезия, пров. Центральный Калимантан, о. Калимантан
Теланайпу́ра| Индонезия, см. Джа́мби (Теланайпу́ра)
Те́леграф-Крик| Канада, пров. Британская Колумбия
Те́лемарк| фюльке, Норвегия
Теле́н| Аргентина, пров. Ла-Пампа
Теле́но| г., выс. 2188 м, Кантабрийские горы; Испания
Телеорма́н| р., лев. приток р. Ведя; Румыния
Телеорма́н| уезд, Румыния
Телери́г| Болгария, Толбухинский окр.
Тели́| Китай, пров. Хэйлунцзян
Телибо́нг| о., Таиланд, см. Талибо́нг, о.
Телиме́ле| Гвинея
Тели́н| Китай, пров. Ляонин
Те́лис-Пи́рис (Сан-Мануэ́л)| р. (в верхн. теч. также наз. Паранати́нга), сливаясь с р. Журуэна, образует р. Тапажос; Бразилия
Телли́-Нур| оз., Китай, см. Айранкё́ль, оз.
Телль-Атла́с| хр., Алжир, Марокко и Тунис
Телль-А́фар| Ирак, см. Талль-А́фар
Телль-Кала́х| Сирия
Телль-Ко́чек| Ирак
Телль-Та́мер| Сирия, см. Телль-Та́мир
Телль-Та́мир| Сирия
Телль-эс-Сува́р| Сирия, см. Эс-Сува́р
Тело́к-А́нсон| Малайзия, см. Телу́к-А́нсон
Те́лон| р., впадает в оз. Бейкер; Канада
Тёло́н (Шоло́н)| Вьетнам, гор. тер. Хошимин
Телу́к-А́нсон| Малайзия, шт. Перак
Телу́кбету́нг| Индонезия, пров. Лампунг, о. Суматра
Телу́кдала́м| Индонезия, пров. Северная Суматра, о. Ниас
Те́лчу| Румыния, уезд Бистрица-Нэсэуд
Тель-Ави́в| столица Израиля
Те́льгте| ФРГ, земля Северный Рейн-Вестфалия
Те́льсен| Аргентина, пров. Чубут
Те́льтов| ГДР, окр. Потсдам
Те́льфс| Австрия, земля Тироль
Тельч| Чехословакия, Южно-Моравская обл.
Теля́жен| р., лев. приток р. Прахова; Румыния
Теля́к| Румыния, уезд Муреш
Тема́кс| Мексика, см. Тема́ш
Темассини́н| Алжир, см. Бордж-Ома́р-Идри́с
Темата́нги| о., Тихий океан, о-ва Туамоту; Французская Полинезия
Тема́ш| Мексика, шт. Юкатан
Тембели́нг| р., лев. приток р. Паханг; Малайзия
Тембилаха́н| Индонезия, пров. Риау, о. Суматра
Тембле́ке| Испания, пров. Толедо
Те́мбо-Алу́ма| Ангола
Те́мерин| Югославия, Социалистическая Республика Сербия
Темерло́х| Малайзия, шт. Паханг
Темз| Новая Зеландия, см. Темс
Те́мза| р., впадает в Северное море; Великобритания
Теми́скаминг| Канада, см. Тими́скаминг
Те́ммерфорс| Финляндия, см. Та́мпере
Тёмо́й| Вьетнам, пров. Бактхай
Темпи́но| Индонезия, пров. Джамби, о. Суматра
Темпл| США, шт. Техас
Темпли́н| ГДР, окр. Нойбранденбург
Те́мпьо-Пауза́ния| Италия, обл. Сардиния
Темс| Новая Зеландия, о. Северный
Темс| р., впадает в оз. Сент-Клэр; Канада
Тему́ко| Чили, адм. центр обл. Араукания
Те́на| Эквадор, адм. центр пров. Напо
Тена́ли| Индия, шт. Андхра-Прадеш
Те́нарон| м., южн. побережье п-ова Пелопоннес; Греция
Тенассери́м| пров., о., р., хр., Бирма, см. Танинта́йи (Тенассери́м), адм. обл., о., р., хр.
Те́нби| Великобритания, Уэльс, граф. Дивед
Тенга́| о-ва, море Бали; Индонезия
Тенга́ронг| Индонезия, пров. Восточный Калимантан, о. Калимантан
Тенгри́-Нур| оз., Китай, см. Нам-Цо (Тэнгри́-Нур), оз.
Тенда́| пер., выс. 1870 м, горы Приморские Альпы; на границе Франции и Италии
Тендо́| Япония, преф. Ямагата, о. Хонсю
Те́нево| Болгария, Ямбольский окр.
Тенедо́с| о., Турция, см. Бозджаада́ (Тене́дос), о.
Тенеке́рт| Мали
Тене́ре| географ. обл., Нигер
Тенери́фе| о., Атлантический океан, Канарские о-ва; Испания
Тене́с| Алжир
Тени́ет-Бе́ни-А́йша| Алжир, см. Тени́я
Те-Нилс| р., Австралия, см. Нилс, р.
Тени́я| Алжир
Тенка́си| Индия, шт. Тамилнад
Те́нке| Заир
Тенкодо́го| Буркина-Фасо
Те́ннант-Крик| Австралия, Северная тер.
Тё́ннер| Дания, амт Южная Ютландия, п-ов Ютландия
Тё́ннерн| Дания, см. Тё́ннер
Теннесси́| р., лев. приток р. Огайо; США
Теннесси́| шт., США
Тё́ннинг| ФРГ, земля Шлезвиг-Гольштейн
Те́нойоки| р. (на тер. Норвегии — Та́наэльв), впадает в Тана-фьорд Баренцева моря; Финляндия
Тено́м| Малайзия, шт. Сабах, о. Калимантан
Тено́н| Франция, деп. Дордонь
Теноси́ке| Мексика, шт. Табаско
Тенрю́| р., впадает в Тихий океан, о. Хонсю; Япония
Тё́нсберг| Норвегия адм. центр фюльке Вестфолл
Тен-Та́узенд-А́йлендс| о-ва, США, см. Де́сять Ты́сяч острово́в, о-ва
Тентенья́к| Франция, деп. Иль и Вилен
Тё́нтхань| Вьетнам, пров. Шонгбе
Теодо́р-Ру́звельт| р., Бразилия, см. Ру́звельт, р.
Теоре́о| Вьетнам, пров. Зялай-Контум
Теотепе́к| г., выс. 3703 м, горы Южная Сьерра-Мадре; Мексика
Теото́ниу| вдп., на р. Мадейра; Бразилия
Тео́филу-Ото́ни| Бразилия, шт. Минас-Жерайс
Тепа́| Индонезия, пров. Малуку, о. Бабар
Те-Пас| Канада, пров. Манитоба
Те́пасто| Финляндия, ляни Лаппи
Тепатитла́н| Мексика, см. Тепатитла́н-де-Море́лос
Тепатитла́н-де-Море́лос| Мексика, шт. Халиско
Тепе́| Турция, см. Кара́коча́н
Тепекё́й| Турция, см. Кара́коча́н
Тепеле́на| Албания, адм. центр рети Тепелена
Тепеле́на| рети, Албания
Тепеуа́нес| Мексика, шт. Дуранго
Тепи́к| Мексика, адм. центр шт. Наярит
Те́пла| Чехословакия, Западно-Чешская обл.
Те́плице| Чехословакия, Северо-Чешская обл.
Тё́пхин| ГДР, окр. Потсдам
Тер| р., впадает в Средиземное море; Испания
Те́ра| Нигер
Те́ра| р., прав. приток р. Эсла; Испания
Тера́ина| о., Тихий океан, о-ва Лайн (Центральные Полинезийские Спорады); Кирибати
Те́рамо| Италия, обл. Абруцци
Терве́л| Болгария, Толбухинский окр.
Те́рвола| Финляндия, ляни Лаппи
Терджа́н| Турция, иль Эрзинджан
Терези́на| Бразилия, адм. центр шт. Пиауи
Тё́рёксентми́клош| Венгрия, медье Сольнок
Тере́н| р., прав. приток р. Уаза; Франция
Те́рендё| Швеция, лен Норрботтен
Тере́споль| Польша, Бяльскоподляское воев.
Тери́нам| оз., Китай, см. Джари́нам-Цо, оз.
Те́рки-Крик| Австралия, шт. Западная Австралия
Теркс| о-ва, Атлантический океан, Багамские о-ва; влад. Великобритании
Те́рлес| Ирландия, граф. Типперэри
Тёрлс| Ирландия, см. Те́рлес
Термаико́с| зал., Эгейское море, сев.-вост. побережье Греции
Терме́| Турция, иль Самсун
Те́рмини-Имере́се| Италия, обл. Сицилия
Те́рмон| Греция, ном Этолия и Акарнания
Те́рна| Швеция, см. Те́рнабю
Те́рнабю| Швеция, лен Вестерботтен
Терна́те| Индонезия, пров. Малуку, о. Тернате
Терна́те| о., Молуккские о-ва, у зап. побережья о. Хальмахера; Индонезия
Тернё́зен| Нидерланды, пров. Зеландия
Те́рнер| о., у вост. побережья о. Гренландия; Дания
Те́рнер-Ва́лли| Канада, пров. Альберта
Те́рни| Италия, обл. Умбрия
Те́рниц| Австрия, земля Нижняя Австрия
Терпа́ни| Албания
Терра́льба| Италия, обл. Сардиния
Террано́ва| зал., Италия, см. О́льбия, зал.
Террано́ва-Пауза́ния| Италия, см. О́льбия
Те́ррас| Канада, пров. Британская Колумбия
Террачи́на| Италия, обл. Лацио
Те́ррелл| США, шт. Техас
Те́рре-Хот| США, шт. Индиана
Те́рри| США, шт. Монтана
Тё́рринг| Дания, амт Вайле, п-ов Ютландия
Террито́рия ара́бского госуда́рства| территория, отведенная ООН под арабское государство в Палестине в соответствии с резолюцией Генеральной Ассамблеи ООН от 29 ноября 1947 г.
Террито́рия столи́цы Австра́лии| Австралия
Те́ррор| г., выс. 3262 м, п-ов Росса; Антарктида
Те́рсди| о., Торресов прол., у сев.-вост. побережья Австралии
Терсе́йра| о., Атлантический океан, Азорские о-ва; Португалия
Те́рсо| Великобритания, Шотландия, обл. Хайленд
Те́рсо| бух., Атлантический океан, сев. побережье Шотландии; Великобритания
Те́рсо| р., впадает в Атлантический океан; Великобритания
Те́рстон| п-ов, между морями Беллинсгаузена и Амундсена; Антарктида
Терсхе́ллинг| о., Северное море, Западно-Фризские о-ва; Нидерланды
Теруэ́ль| Испания, адм. центр пров. Теруэль
Теруэ́ль| пров., Испания
Терье́-Руж| Гаити
Теса́ва| Нигер
Тесали́т| Мали
Тё́си| Япония, преф. Тиба, о. Хонсю
Тесика́га| Япония, окр. Кусиро, о. Хоккайдо
Те́сио| Япония, окр. Румои, о. Хоккайдо
Те́сио| г., выс. 1558 м, о. Хоккайдо; Япония
Те́сио| р., впадает в Японское море, о. Хоккайдо; Япония
Те́слин| Канада, тер. Юкон
Те́слин| р., прав. приток р. Юкон; Канада
Те́слич| Югославия, Социалистическая Республика Босния и Герцеговина
Теслу́й| р., прав. приток р. Олт; Румыния
Те-Снэрс| о-ва, Новая Зеландия, см. Снэрс, о-ва
Те-Со́лент| прол., между о. Уайт и южным побережьем о. Великобритания
Теспроти́я| ном, Греция, обл. Эпир
Тесса́уа| Нигер, см. Теса́ва
Те́ссел| о., Нидерланды, см. Те́ксел, о.
Тесси́н| ГДР, окр. Росток
Тесси́н (Тичи́но)| кантон, Швейцария
Тест| р., впадает в прол. Те-Солент; Великобритания
Тес-Хем| р., СССР, см. Тэ́сийн-Гол, р.
Тесьютла́н| Мексика, шт. Пуэбла
Тет| Венгрия, медье Дьёр-Шопрон
Те́те| Мозамбик
Те́тевен| Болгария, Ловечский окр.
Те́теров| ГДР, окр. Нойбранденбург
Те́тово| Болгария, Разградский окр.
Те́тово| Югославия, Социалистическая Республика Македония
Тетуа́н| Марокко, адм. центр пров. Тетуан
Тетуа́н| пров., Марокко
Те́тфорд| Великобритания, Англия, граф. Норфолк
Те́тфорд-Майнс| Канада, пров. Квебек
Теуака́н| Мексика, шт. Пуэбла
Теуантепе́к| Мексика, шт. Оахака
Теуантепе́к| зал., Тихий океан, юго-вост. побережье Мексики
Теуантепе́к| перешеек, между Мексиканским зал. и Тихим океаном; Мексика
Те́уко| р., Аргентина, см. Ри́о-Берме́хо, р.
Теула́да| Италия, обл. Сардиния
Теула́да| зал., Средиземное море, южн. побережье о. Сардиния; Италия
Теула́да| м., южн. оконечность о. Сардиния; Италия
Теу́ре| о., Япония, см. Теу́ри, о.
Теу́ри| о., Японское море, у зап. побережья о. Хоккайдо; Япония
Тефе́| Бразилия, шт. Амазонас
Тефенни́| Турция, иль Бурдур
Тефта́н| г., выс. 4042 м, плскг. Серхед; Иран
Теха́с| шт., США
Теха́с-Си́ти| США, см. Те́ксас-Си́ти
Те́хек| оз., Канада, Северо-Западные территории
Те́хте-Джемши́д| разв., Иран, см. Персе́поль (Те́хте-Джемши́д), разв.
Те́ши| Гана
Тею́ш| Румыния, уезд Алба
Теятея́ненг| Лесото
Ти́амис| р., впадает в прол. Керкира; Греция
Тиаре́т| Алжир, адм. центр вилайета Тиарет
Тиаре́т| вилайет, Алжир
Ти́ба| Япония, адм. центр преф. Тиба, о. Хонсю
Ти́ба| преф., Япония, о. Хонсю
Тибажи́| р., лев. приток р. Паранапанема; Бразилия
Тиба́ти| Камерун
Тибе́сти| нагорье, Ливия и Чад
Тибе́т| авт. р-н, Китай, см. Тибе́тский автоно́мный райо́н
Тибе́т| нагорье, Китай, см. Тибе́тское наго́рье
Тибе́тский автоно́мный райо́н| Китай
Тибе́тское наго́рье| Китай
Тибо́| Бирма, см. Тибо́ (Сипо́)
Тибо́ (Сипо́)| Бирма, нац. обл. Шан
Тибр| р., впадает в Тирренское море; Италия
Тибуро́н| о., Калифорнийский зал. Тихого океана; Мексика
Тивериа́да| Израиль, см. Тиве́рия
Тивериа́дское о́зеро| Израиль и Сирия
Тиве́рия| Израиль
Ти́вертон| Великобритания, Англия, граф. Девон
Тиви́са| Испания, пров. Таррагона
Ти́воли| Италия, обл. Лацио
Ти́воли| вдп., на р. Аниене; Италия
Тивье́| Франция, деп. Дордонь
Тига́ра| США, см. Пойнт-Хоп
Тигр| р., сливаясь с р. Евфрат, образует р. Шатт-эль-Араб; Турция, Сирия и Ирак
Ти́гре| Аргентина, пров. Буэнос-Айрес
Тигре́| пров., Эфиопия, см. Тыгра́й, пров.
Ти́гре| р., лев. приток р. Моричаль-Ларго; Венесуэла
Ти́гре| р., лев. приток р. Мараньон; Перу
Тигро́вый| о., Вьетнам, см. Конко́, о.
Ти́дахольм| Швеция, лен Скараборг
Тиде́йн| Бирма, нац. обл. Чин
Тиджикжа́| Мавритания
Ти́дзу| Япония, преф. Тоттори, о. Хонсю
Тидике́льт| оазисы, Алжир
Тидо́ре| о., Молуккское море, Молуккские о-ва, у зап. побережья о. Хальмахера; Индонезия
Тие́с| Сенегал
Тиете́| р., лев. приток р. Парана; Бразилия
Тижо́ка| Бразилия, шт. Пара
Тизи́| Франция, деп. Йонна
Тизи́| Франция, деп. Рона
Тизи́-Узу́| Алжир, адм. центр вилайета Тизи-Узу
Тизи́-Узу́| вилайет, Алжир
Тизна́ф| р., теряется в песках пуст. Такла-Макан; Китай
Тизни́т| Марокко, адм. центр пров. Тизнит
Тизни́т| пров., Марокко
Ти́ка| Кения
Тикамга́рх| Индия, шт. Мадхья-Прадеш
Тике́и (Румя́нцева)| о., Тихий океан, о-ва Туамоту; Французская Полинезия
Ти́кет-По́ртидж| Канада, пров. Манитоба
Тикеха́у (Крузенште́рна)| ат., Тихий океан, о-ва Туамоту; Французская Полинезия
Тико́пиа| о., Тихий океан, к юго-вост. от о-вов Санта-Крус; гос-во Соломоновы Острова
Тикри́т| Ирак, адм. центр мухафазы Салах-эд-Дин
Тикуго́| р., впадает в зал. Симабара Восточно-Китайского моря, о. Кюсю; Япония
Тику́ль| Мексика, шт. Юкатан
Тил| Нидерланды, пров. Гелдерланд
Тилаба́д| Иран, см. Тильаба́д
Тиладу́ммати| ат., Индийский океан, Мальдивские о-ва; Мальдивы
Тиламу́та| Индонезия, пров. Северный Сулавеси, о. Сулавеси
Ти́лбери| Великобритания, Англия, граф. Эссекс
Ти́лбург| Нидерланды, пров. Северный Брабант
Ти́лден| ЮАР, Капская пров.
Тиллабе́ри| Нигер
Ти́лламук| США, шт. Орегон
Ти́лос| о., Эгейское море, о-ва Южные Спорады; Греция
Тилт| Бельгия, пров. Западная Бельгия
Тильаба́д| Иран, остан Мазендеран
Тиля́гд| Румыния, уезд Бихор
Тим| р., прав. приток р. Северн; Великобритания
Тима́гами| оз., Канада, пров. Онтарио
Ти́мару| Новая Зеландия, о. Южный
Тима́х| г., выс. 178 м; Сингапур
Тимба́кион| Греция, ном Ираклион, о. Крит
Тимбе́дра| Мавритания
Тимбу́кту| Мали, см. Томбу́кту
Тимиму́н| Алжир
Тимири́с| м., зап. побережье Африки; Мавритания
Тими́скаминг| Канада, пров. Квебек
Тими́скаминг| оз., Канада, провинции Квебек и Онтарио
Ти́миш| р. (на тер. Югославии — Та́миш), лев. приток р. Дунай; Румыния
Ти́миш| уезд, Румыния
Тимишоа́ра| Румыния, адм. центр уезда Тимиш
Ти́мминс| Канада, пров. Онтарио
Ти́мок| р., прав. приток р. Дунай; Югославия
Тимо́н| Бразилия, шт. Мараньян
Тимо́р| о., Малые Зондские о-ва; зап. часть о-ва принадлежит Индонезии
Тимо́рское мо́ре| Индийский океан, между сев. побережьем Австралии и Малыми Зондскими о-вами
Ти́мро| Швеция, лен Вестерноррланд
Тимса́х| оз., Египет
Тимфристо́с| г., выс. 2315 м, горы Пинд; Греция
Тин| Чехословакия, см. Тин-над-Влта́воу
Ти́на| г., выс. 2689 м; Доминиканская Республика
Ти́на| р., прав. приток р. Умзимвубу; ЮАР
Тина́ка| м., южн. оконечность о. Минданао; Филиппины
Ти́нгвадлаватн| оз., Исландия, сисла Аурнес
Ти́нгведлир| Исландия, сисла Аурнес
Ти́нгейри| Исландия, адм. центр сислы Вестюр-Исафьярдар
Тинге́рт| пуст., Алжир и Ливия
Ти́нги| о., Южно-Китайское море, у юго-вост. побережья п-ова Малакка; Малайзия
Тингмиа́рмиут| о. Гренландия
Ти́нго-Мари́я| Перу, деп. Уануко
Ти́нгсрюд| Швеция, лен Крунуберг
Ти́ндиванам| Индия, шт. Тамилнад
Тинду́ф| Алжир
Ти́нен| Бельгия, пров. Брабант
Тине́о| Испания, пров. Астурия
Ти́нец| Чехословакия, см. Ти́нец-над-Ла́бем и Ти́нец-над-Са́завоу
Ти́нец-над-Ла́бем| Чехословакия, Среднечешская обл.
Ти́нец-над-Са́завоу| Чехословакия, Среднечешская обл.
Тиниа́н| о., Тихий океан, Марианские о-ва; опека США
Ти́ниште| Чехословакия, Восточно-Чешская обл., см. Ти́ниште-над-О́рлици
Ти́ниште-над-О́рлици| Чехословакия, Восточно-Чешская обл.
Тинки́со| р., лев. приток р. Нигер; Гвинея
Ти́нмут| Великобритания, Англия, граф. Девон
Тин-над-Влта́воу| Чехословакия, Южно-Чешская обл.
Ти́ннусет| Норвегия, фюльке Телемарк
Тинога́ста| Аргентина, пров. Катамарка
Ти́нос| Греция, ном Киклады, о. Тинос
Ти́нос| о., Эгейское море, о-ва Киклады; Греция
Тин-Си́ти| США, шт. Аляска
Тин-Тара́бин| сух. русло, Алжир
Тин-Ти́гес| к., Алжир
Ти́нтик| США, шт. Юта
Тин-Ти́рес| к., Алжир, см. Тин-Ти́гес, к.
Тинцзя́н| р., Китай, см. Ханьцзя́н, р.
Тинчжо́у| Китай, см. Чанти́н (Тинчжо́у)
Тиньзя́| хр., Вьетнам
Ти́одор| Австралия, шт. Квинсленд
Тио́ман| о., Южно-Китайское море, у юго-вост. побережья п-ова Малакка; Малайзия
Тионви́ль| Франция, см. Тьонви́ль
Тио́не| Италия, см. Тио́не-ди-Тре́нто
Тио́не-ди-Тре́нто| Италия, обл. Трентино-Альто-Адидже
Тио́ро| прол., между о. Сулавеси и о-вами Муна, Бутунг; Индонезия
Типпекану́| р., прав. приток р. Уобаш; США
Типперэ́ри| Ирландия, граф. Типперэри
Типперэ́ри| граф., Ирландия
Типути́ни| Эквадор, пров. Напо
Тир| Ливан, см. Сур (Тир)
Ти́ра| Греция, ном Киклады, о. Тира
Ти́ра| о., Эгейское море, о-ва Киклады; Греция
Тира́на| столица Албании
Тира́на| рети, Албания
Тира́но| Италия, обл. Ломбардия
Тираси́я| о., Эгейское море, о-ва Киклады; Греция
Ти́рвия| Испания, пров. Лерида
Тире́| Турция, иль Измир
Тире́болу| Турция, иль Гиресун
Тирикунама́лая| Шри-Ланка, см. Тринкома́ли
Тири́н| Афганистан, см. Тари́нкот
Тиричми́р| г., выс. 7690 м, горн. сист. Гиндукуш; Пакистан
Тирлемо́н| Бельгия, см. Ти́нен
Ти́рнавос| Греция, ном Лариса
Тиро́ль| земля, Австрия
Тирпу́ль| Афганистан, пров. Герат
Тирре́нское мо́ре| часть Средиземного моря, между Апеннинским п-овом и о-вами Корсика, Сардиния и Сицилия
Ти́рсо| оз., Италия, см. Омоде́о, оз.
Ти́рсо| р., впадает в зал. Ористано Средиземного моря, о. Сардиния; Италия
Ти́руа| оз., Австралия, см. На́рран (Ти́руа), оз.
Ти́руванантапу́рам| Индия, см. Трива́ндрам
Ти́рукко́йилур| Индия, шт. Тамилнад
Ти́рунелве́ли| Индия, шт. Тамилнад
Тирупа́ти| Индия, шт. Андхра-Прадеш
Тируппа́ттур| Индия, шт. Тамилнад
Ти́руччираппа́лли| Индия, шт. Тамилнад
Ти́ршенройт| ФРГ, земля Бавария
Тис| р., впадает в Северное море; Великобритания
Ти́са| р., лев. приток р. Дунай; СССР, Румыния, Чехословакия, Венгрия и Югославия
Ти́сабё| Венгрия, медье Сольнок
Ти́сакечке| Венгрия, медье Бач-Кишкун
Ти́салёк| Венгрия, медье Сабольч-Сатмар
Ти́сарофф| Венгрия, медье Сольнок
Ти́саседерке́нь| Венгрия, см. Ленинва́рош
Ти́сафёльдвар| Венгрия, медье Сольнок
Ти́сафюред| Венгрия, медье Сольнок
Ти́свиллела́йе| Дания, амт Фредериксборг, о. Зеландия
Тисви́ль| Заир, см. Нгу́нгу
Тисемси́льт| Алжир
Тисими́н| Мексика, шт. Юкатан
Тисл-Крик| Канада, тер. Юкон
Тисма́на| Румыния, уезд Горж
Ти́совец| Чехословакия, Среднесловацкая обл.
Ти́ссё| оз., Дания, о. Зеландия
Ти́стед| Дания, амт Виборг, п-ов Ютландия
Ти́стиль-фьорд| сев.-вост. побережье о. Исландия
Тит| Алжир
Ти́тел| Югославия, Социалистическая Республика Сербия
Тити́бу| Япония, преф. Сайтама, о. Хонсю
Титидзи́ма| о-ва, Япония, см. Титиси́ма, о-ва
Титика́ка| оз., на границе Боливии и Перу
Титиси́ма| о-ва, Тихий океан, о-ва Огасавара (Бонин); Япония
Ти́това-Ми́тровица| Югославия, Социалистическая Республика Сербия
Ти́тов-Ве́лес| Югославия, Социалистическая Республика Македония
Ти́тово-У́жице| Югославия, Социалистическая Республика Сербия
Титогра́д| Югославия, столица Социалистической Республики Черногория
Ти́тон| р., прав. приток р. Марайас; США
Тито́се| Япония, окр. Имкари, о. Хоккайдо
Титтабаво́сси| р., лев. приток р. Сагино; США
Ти́ттлинг| ФРГ, земля Бавария
Ти́ту| Румыния, уезд Дымбовица
Титу́ле| Заир
Тиф-Ри́вер-Фолс| США, шт. Миннесота
Ти́фтон| США, шт. Джорджия
Ти́ффин| США, шт. Огайо
Ти́хий океа́н
Ти́хион| Греция, ном Эврос
Тихуа́на| Мексика, шт. Нижняя Калифорния Северная
Ти́ча| р., Болгария, см. Голя́ма-Ка́мчия, р.
Тичи́но| кантон, Швейцария, см. Тесси́н (Тичи́но), кантон
Тичи́но| р., лев. приток р. По; Швейцария и Италия
Тиши́т| Мавритания
Ти́шнов| Чехословакия, Южно-Моравская обл.
Тласка́ла| Мексика, адм. центр шт. Тласкала
Тласка́ла| шт., Мексика
Тлахья́ко| Мексика, шт. Оахака
Тлевиа́за| р., впадает в Гудзонов зал.; Канада
Тлемсе́н| Алжир, адм. центр вилайета Тлемсен
Тлемсе́н| вилайет, Алжир
Тле́та-Мада́ри| м., Марокко, см. Труа́-Фурш (Тле́та-Мада́ри), м.
Тлущ| Польша, Остроленцкое воев.
Тльма́че| Чехословакия, Западно-Словацкая обл.
То| оз., Франция, деп. Эро
То́ба| Япония, преф. Миэ, о. Хонсю
То́ба| оз., о. Суматра; Индонезия
Тоба́го| о., Атлантический океан, к сев.-вост. от о. Тринидад; Тринидад и Тобаго
Тоба́рра| Испания, пров. Альбасете
Тобело́| Индонезия, пров. Малуку, о. Хальмахера
Тобермо́ри| Великобритания, Шотландия, обл. Стратклайд, о. Малл
Тобермо́ри| Канада, пров. Онтарио
То́бецу| Япония, окр. Исикари, о. Хоккайдо
То́би| о., Тихий океан, Каролинские о-ва; опека США
То́би| о., Японское море, у сев.-зап. побережья о. Хонсю; Япония
Тобоа́ли| Индонезия, пров. Южная Суматра, о. Банка
Тобру́к| Ливия
Това́да| Япония, преф. Аомори, о. Хонсю
Това́да| оз., о. Хонсю; Япония
Тово́нда| США, шт. Пенсильвания
Тову́ти| оз., о. Сулавеси; Индонезия
То́гане| Япония, преф. Тиба, о. Хонсю
То́гиан| о-ва, зал. Томини Молуккского моря; Индонезия
То́го| Тоголе́зская Респу́блика, гос-во, Западная Африка
Тогто́х| Китай, авт. р-н Внутренняя Монголия
Тоденья́нг| Кения
То́ди| Италия, обл. Умбрия
То́дморден| Австралия, шт. Южная Австралия
То́дор-Иконо́мово| Болгария, Шуменский окр.
То́дос-Са́нтос| Боливия, деп. Кочабамба
То́дос-Са́нтос| Мексика, шт. Нижняя Калифорния Южная
То́дтнау| ФРГ, земля Баден-Вюртемберг
То́дуз-ус-Са́нтус| бух., Атлантический океан, вост. побережье Бразилии
То́ё| Япония, преф. Эхиме, о. Сикоку
Тоё́кава| Япония, преф. Айти, о. Хонсю
Тоё́ма| Япония, преф. Мияги, о. Хонсю
Тоёна́ка| Япония, гор. преф. Осака, о. Хонсю
Тоёо́ка| Япония, преф. Хиого, о. Хонсю
Тоё́хаси| Япония, преф. Айти, о. Хонсю
Тозё́р| Тунис, см. Та́узар
Тои́ли| Индонезия, пров. Центральный Сулавеси, о. Сулавеси
То́кай| Венгрия, медье Боршод-Абауй-Земплен
Тока́й| ист. обл., Япония, о. Хонсю
Токанти́нс| р., прав. приток р. Пара; Бразилия
То́кар| Судан
Тока́ра| о-ва, Восточно-Китайское море, о-ва Рюкю (Нансей); Япония
Тока́ра| прол., между о-вами Токара и Осуми; Япония
Тока́т| Турция, адм. центр иля Токат
Тока́т| иль, Турция
То́кати| влк., выс. 2077 м, о. Хоккайдо; Япония
То́кати| окр., Япония, о. Хоккайдо
То́кати| р., впадает в Тихий океан, о. Хоккайдо; Япония
Токела́у (Ю́нион)| о-ва, Тихий океан; влад. Новой Зеландии
Токи́йский зали́в| Тихий океан, вост. побережье о. Хонсю; Япония
Токи́ма| хр., США
То́кио| столица Японии, о. Хонсю
То́кио| столичная преф., Япония, о. Хонсю
Токку́закбаза́р (Шуфу́)| Китай, Синьцзян-Уйгурский авт. р-н
Токку́зтара́ (Гунлю́)| Китай, Синьцзян-Уйгурский авт. р-н
Токнога́н| р., КНДР, см. Тоннога́н, р.
То́код| Венгрия, медье Комаром
Токопи́лья| Чили, обл. Антофагаста
То́коро| р., впадает в Охотское море, о. Хоккайдо; Япония
То́кра| Ливия, см. Эль-Агури́я
Токсу́н| Китай, Синьцзян-Уйгурский авт. р-н
Токсу́ (Синьхэ́)| Китай, Синьцзян-Уйгурский авт. р-н
Токуно́сима| о., Тихий океан, о-ва Рюкю (Нансей); Япония
То́кура| пер., выс. 891 м, о. Хонсю; Япония
Токуси́ма| Япония, адм. центр преф. Токусима, о. Сикоку
Токуси́ма| преф., Япония, о. Сикоку
Токуя́ма| Япония, преф. Ямагути, о. Хонсю
Токхынни́| КНДР, пров. Пхёнан-Намдо
Токчо́к| о-ва, Жёлтое море, у зап. побережья Южной Кореи
Токчхо́н| КНДР, пров. Пхёнан-Намдо
Токэто́| Китай, см. Тогто́х
Тола́| р., прав. приток р. Орхон; Монголия
Толбу́хин| Болгария, адм. центр Толбухинского окр.
Толбу́хинский о́круг| Болгария
Толе́до| Испания, адм. центр пров. Толедо
Толе́до| пров., Испания
Толе́дские го́ры| Испания
